ticker,company,market,isin,source_bas_dt,open,high,low,close,change,day_change_pct,volume,trading_value,listed_shares,market_cap,data_vendor
028300,HLB,KOSDAQ,,20250314,74200.0,77300.0,71500.0,72000.0,-2200.0,-2.96,1877712.0,138364009150.0,131387433.0,9459895176000.0,krx-open-api
028670,팬오션,KOSPI,,20250314,3740.0,3760.0,3605.0,3610.0,-100.0,-2.7,2011516.0,7314733118.0,534569512.0,1929795938320.0,krx-open-api
029780,삼성카드,KOSPI,,20250314,42600.0,42800.0,42250.0,42550.0,-50.0,-0.12,37968.0,1610890325.0,115858891.0,4929795812050.0,krx-open-api
030200,KT,KOSPI,,20250314,48550.0,49400.0,48250.0,49100.0,700.0,1.45,513610.0,25611871876.0,252021685.0,12374264733500.0,krx-open-api
030530,원익홀딩스,KOSDAQ,,20250314,4520.0,4955.0,4520.0,4805.0,285.0,6.31,11735155.0,56612933902.0,77237981.0,371128498705.0,krx-open-api
031210,서울보증보험,KOSPI,,20250314,28050.0,32150.0,26550.0,32000.0,6000.0,23.08,18092710.0,540106869525.0,69821598.0,2234291136000.0,krx-open-api
031980,피에스케이홀딩스,KOSDAQ,,20250314,39300.0,41550.0,39300.0,40200.0,1100.0,2.81,319450.0,12996679675.0,21562395.0,866808279000.0,krx-open-api
032640,LG유플러스,KOSPI,,20250314,10740.0,10740.0,10600.0,10710.0,-20.0,-0.19,569189.0,6077304670.0,436611361.0,4676107676310.0,krx-open-api
032820,우리기술,KOSDAQ,,20250314,1995.0,2045.0,1995.0,2010.0,21.0,1.06,2044349.0,4124417133.0,164677432.0,331001638320.0,krx-open-api
032830,삼성생명,KOSPI,,20250314,83400.0,83400.0,81600.0,82000.0,-1100.0,-1.32,213583.0,17525523900.0,200000000.0,16400000000000.0,krx-open-api
033780,KT&G,KOSPI,,20250314,95400.0,96100.0,94600.0,95000.0,-1100.0,-1.14,179380.0,17116903600.0,122062497.0,11595937215000.0,krx-open-api
034020,두산에너빌리티,KOSPI,,20250314,26400.0,27100.0,26000.0,26750.0,900.0,3.48,11307695.0,301715973575.0,640561146.0,17135010655500.0,krx-open-api
034220,LG디스플레이,KOSPI,,20250314,9010.0,9040.0,8960.0,8990.0,10.0,0.11,636840.0,5728696555.0,500000000.0,4495000000000.0,krx-open-api
034730,SK,KOSPI,,20250314,137000.0,137700.0,136400.0,137100.0,0.0,0.0,91730.0,12578959900.0,72502703.0,9940120581300.0,krx-open-api
035250,강원랜드,KOSPI,,20250314,16640.0,16810.0,16600.0,16780.0,140.0,0.84,345001.0,5776522990.0,213940500.0,3589921590000.0,krx-open-api
035420,NAVER,KOSPI,,20250314,215500.0,216500.0,208000.0,208000.0,-8000.0,-3.7,519114.0,108970502000.0,158437008.0,32954897664000.0,krx-open-api
035720,카카오,KOSPI,,20250314,43100.0,44050.0,43100.0,43450.0,300.0,0.7,1733603.0,75338202975.0,443721032.0,19279678840400.0,krx-open-api
036460,한국가스공사,KOSPI,,20250314,37100.0,37800.0,36700.0,36750.0,50.0,0.14,765861.0,28423495950.0,92313000.0,3392502750000.0,krx-open-api
036570,엔씨소프트,KOSPI,,20250314,164200.0,167700.0,162700.0,164800.0,1800.0,1.1,94501.0,15670707850.0,21954022.0,3618022825600.0,krx-open-api
036930,주성엔지니어링,KOSDAQ,,20250314,33600.0,34200.0,33300.0,33850.0,700.0,2.11,327227.0,11090144950.0,47268321.0,1600032665850.0,krx-open-api
039030,이오테크닉스,KOSDAQ,,20250314,134400.0,137900.0,133600.0,135400.0,900.0,0.67,82761.0,11229959300.0,12319550.0,1668067070000.0,krx-open-api
039490,키움증권,KOSPI,,20250314,122300.0,122300.0,120200.0,120700.0,-800.0,-0.66,45623.0,5515490100.0,25526706.0,3081073414200.0,krx-open-api
042660,한화오션,KOSPI,,20250314,74000.0,75500.0,72500.0,74300.0,800.0,1.09,2861617.0,211885314850.0,306413394.0,22766515174200.0,krx-open-api
042700,한미반도체,KOSPI,,20250314,89700.0,90300.0,87600.0,87800.0,-3200.0,-3.52,862579.0,76456680550.0,96614259.0,8482731940200.0,krx-open-api
043260,성호전자,KOSDAQ,,20250314,1125.0,1131.0,1116.0,1124.0,-1.0,-0.09,99945.0,112375332.0,61002189.0,68566460436.0,krx-open-api
047040,대우건설,KOSPI,,20250314,3480.0,3515.0,3420.0,3465.0,15.0,0.43,380325.0,1317112491.0,415622638.0,1440132440670.0,krx-open-api
