ticker,company,market,market_cap,source_bas_dt
087010,펩트론,KOSDAQ,5724409425000.0,20260519
039030,이오테크닉스,KOSDAQ,5722430975000.0,20260519
036570,NC,KOSPI,5709165830000.0,20260519
029780,삼성카드,KOSPI,5694464492650.0,20260519
128940,한미약품,KOSPI,5630430544500.0,20260519
141080,리가켐바이오,KOSDAQ,5564018525400.0,20260519
240810,원익IPS,KOSDAQ,5546480813000.0,20260519
082740,한화엔진,KOSPI,5532545514600.0,20260519
010060,OCI홀딩스,KOSPI,5498383324000.0,20260519
271560,오리온,KOSPI,5440171763200.0,20260519
440110,파두,KOSDAQ,5405447633300.0,20260519
336260,두산퓨얼셀,KOSPI,5396683022400.0,20260519
138930,BNK금융지주,KOSPI,5356244589580.0,20260519
052690,한전기술,KOSPI,5350800000000.0,20260519
004020,현대제철,KOSPI,5151007301000.0,20260519
001040,CJ,KOSPI,5091386151000.0,20260519
088350,한화생명,KOSPI,5037474000000.0,20260519
103590,일진전기,KOSPI,5006965950000.0,20260519
214370,케어젠,KOSDAQ,4936408500000.0,20260519
011790,SKC,KOSPI,4839568484400.0,20260519
175330,JB금융지주,KOSPI,4828704429600.0,20260519
004170,신세계,KOSPI,4779261586000.0,20260519
022100,포스코DX,KOSPI,4713076599000.0,20260519
018880,한온시스템,KOSPI,4669494611600.0,20260519
310210,보로노이,KOSDAQ,4664950348500.0,20260519
023530,롯데쇼핑,KOSPI,4557318430500.0,20260519
002380,KCC,KOSPI,4438792264500.0,20260519
450080,에코프로머티,KOSPI,4318195744800.0,20260519
095340,ISC,KOSDAQ,4182179543400.0,20260519
178320,서진시스템,KOSDAQ,4155335624200.0,20260519
403870,HPSP,KOSDAQ,4032700000000.0,20260519
108490,로보티즈,KOSDAQ,4016025672000.0,20260519
051900,LG생활건강,KOSPI,3978639340000.0,20260519
111770,영원무역,KOSPI,3824079688400.0,20260519
222800,심텍,KOSDAQ,3685676916600.0,20260519
319400,현대무벡스,KOSDAQ,3669840485050.0,20260519
012510,더존비즈온,KOSPI,3653457364000.0,20260519
251270,넷마블,KOSPI,3524295953000.0,20260519
036460,한국가스공사,KOSPI,3517125300000.0,20260519
014680,한솔케미칼,KOSPI,3507705157500.0,20260519
011170,롯데케미칼,KOSPI,3507584358000.0,20260519
011780,금호석유화학,KOSPI,3461647920000.0,20260519
489790,한화비전,KOSPI,3402917486000.0,20260519
004800,효성,KOSPI,3398302621000.0,20260519
035250,강원랜드,KOSPI,3367423470000.0,20260519
031210,서울보증보험,KOSPI,3358418863800.0,20260519
010170,대한광통신,KOSDAQ,3350715973000.0,20260519
001450,현대해상,KOSPI,3311894512500.0,20260519
145020,휴젤,KOSDAQ,3266720761500.0,20260519
017800,현대엘리베이터,KOSPI,3252486432000.0,20260519
