ticker,company,result,net_return_pct,signal_hhmm,opening_width_pct,entry_vs_opening_high_pct,signal_close_vs_vwap_pct,volume_ratio,cum_value_bil,pre_signal_low_vs_opening_high_pct,rank,signal_score,day_change_pct,market_median_change_pct,value_ratio_20,close_location_pct,lower_tail_recovery_pct,close_vs_open_pct,distance_from_60d_high_pct,entry_gap_pct
466100,클로봇,stop_loss,-1.5,919,2.4618991793669442,0.6864988558352492,1.5753464773639259,1.5007514769125458,22.01846405,-2.4027459954233388,2.0,66.02,4.98,0.32,1.85,92.5,6.0,2.73,-12.71,0.116
066970,엘앤에프,stop_loss,-1.5,924,2.377179080824088,-0.696594427244579,0.7563253972565409,1.7071693358854456,8.057911,-2.5541795665634637,1.0,61.06,-1.7,0.59,2.3,97.3,2.92,0.4,-14.83,0.0
005385,현대차우,target_hit,1.2,923,2.4610748367654534,-0.9803921568627416,0.2946529770294637,1.6631176631176632,5.4628595,-2.401960784313728,1.0,51.32,3.15,-0.45,1.97,91.5,2.77,2.09,-9.3,-0.05
005387,현대차2우B,target_hit,1.2,924,1.975308641975304,-0.4842615012106588,0.3220495146026847,2.7641496505413183,4.6375945,-1.937046004842613,2.0,46.85,3.1,-0.45,1.55,91.7,2.78,1.86,-10.38,-0.246
086280,현대글로비스,time_exit,-0.655,924,1.5590200445434244,-0.43859649122807154,0.5116076321596497,5.1080550098231825,3.7184405,-1.5350877192982448,2.0,54.37,1.0,0.33,2.19,92.5,2.76,0.27,-6.31,-0.821
100090,SK오션플랜트,target_hit,1.2,914,2.3243801652892637,0.8581524482584646,2.257271735098776,3.1355644053191734,3.08360641,-2.5744573447753605,1.0,78.13,6.69,0.74,2.3,98.3,6.23,5.5,-36.7,-0.702
041510,에스엠,target_hit,1.2,923,2.0779220779220786,0.2544529262086481,1.046124722652464,3.1820185103569854,2.0790975,-2.035623409669207,1.0,70.66,5.82,0.0,2.45,90.4,5.91,4.97,-22.75,-0.254
035900,JYP Ent.,stop_loss,-1.5,927,1.6475644699140313,-0.21141649048626032,0.6209802122549624,1.6799826077504212,4.8876819,-1.7618040873854879,2.0,68.37,4.12,0.0,2.46,93.1,3.96,3.51,-20.0,-0.282
009540,HD한국조선해양,target_hit,1.2,935,2.771362586605086,-0.44943820224718767,0.7188826831492579,1.6456745111037454,17.9782985,-2.696629213483148,1.0,78.83,5.3,0.27,2.5,100.0,5.8,4.81,-9.61,-0.447
047050,포스코인터내셔널,stop_loss,-1.5,911,3.2315978456014305,0.8695652173912993,1.566718667621414,2.9580711870712197,13.246324,-3.130434782608693,1.0,71.86,2.6,0.33,2.2,93.5,5.54,3.76,-12.24,0.0
001430,세아베스틸지주,stop_loss,-1.5,912,2.9090909090909056,-0.5889281507656108,0.5167192900419781,5.555555555555555,3.8539805,-2.8268551236749095,2.0,56.36,4.36,-1.16,1.57,91.0,16.88,12.18,-9.41,0.0
021240,코웨이,stop_loss,-1.5,926,2.7491408934707806,-0.8918617614269819,0.8497155209739704,1.7522911757004451,2.6233971,-2.7870680044593144,1.0,61.83,1.97,0.7,1.53,94.9,4.39,1.5,-5.08,0.0
041190,우리기술투자,target_hit,1.2,934,3.1980319803198043,-0.47675804529201393,1.3949888578989267,2.8048542980256594,3.795992805,-3.0989272943980906,2.0,69.75,5.32,0.8,1.7,95.0,4.79,3.35,-11.49,0.601
079550,LIG넥스원,target_hit,1.2,943,2.783300198807148,-0.9671179883945835,0.7761989114037471,4.820659971305596,22.093937,-2.7079303675048405,2.0,65.4,6.44,0.0,1.94,90.2,7.64,5.25,-9.86,-0.768
090430,아모레퍼시픽,target_hit,1.2,926,1.0144927536231974,-0.5021520803443313,0.1070461275857193,1.8534048976853403,2.6043814,-1.0043041606886627,2.0,64.01,6.18,0.0,1.58,93.5,8.65,7.44,-14.56,-4.017
096770,SK이노베이션,time_exit,-0.205,911,1.7557861133280062,-0.7058823529411784,0.15208767206560392,1.9303191964950972,4.984055,-1.7254901960784275,2.0,61.61,4.03,0.8,1.51,90.7,4.03,4.03,-10.47,0.395
