filter,signals,successes,failures,time_exits,success_rate,wilson_low,avg_net_return_pct
signal_close_vs_vwap_pct >= 0.3; cum_value_bil <= 5; entry_gap_pct >= -1.5,17,7,7,3,41.18,21.61,-0.213
signal_close_vs_vwap_pct >= 0.3; cum_value_bil <= 8; market_median_change_pct >= -0.5,17,7,7,3,41.18,21.61,-0.213
signal_close_vs_vwap_pct >= 0.5; cum_value_bil <= 8; entry_gap_pct >= -1.5,17,7,8,2,41.18,21.61,-0.244
signal_close_vs_vwap_pct >= 0.5; cum_value_bil <= 8; entry_gap_pct >= -1,17,7,8,2,41.18,21.61,-0.244
signal_close_vs_vwap_pct >= 0.5; cum_value_bil <= 15; market_median_change_pct >= -0.5,17,7,8,2,41.18,21.61,-0.244
signal_close_vs_vwap_pct >= 0.5; cum_value_bil <= 15; market_median_change_pct >= 0,17,7,8,2,41.18,21.61,-0.244
cum_value_bil <= 15; market_median_change_pct >= -0.5; entry_gap_pct >= -0.5,17,7,7,3,41.18,21.61,-0.214
market_median_change_pct >= -0.5; entry_gap_pct >= -1; distance_from_60d_high_pct <= -10,17,7,5,5,41.18,21.61,-0.088
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.5,22,9,11,2,40.91,23.26,-0.333
signal_hhmm <= 935; signal_hhmm <= 940; entry_vs_opening_high_pct >= -0.5,22,9,11,2,40.91,23.26,-0.333
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.8; entry_vs_opening_high_pct >= -0.5,22,9,11,2,40.91,23.26,-0.333
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.5,22,9,12,1,40.91,23.26,-0.357
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.5; entry_gap_pct >= -1.5,22,9,11,2,40.91,23.26,-0.333
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.5; entry_gap_pct >= -1,22,9,11,2,40.91,23.26,-0.333
signal_hhmm <= 935; cum_value_bil <= 10; entry_gap_pct >= -1.5,22,9,9,4,40.91,23.26,-0.234
signal_hhmm <= 935; cum_value_bil <= 10; entry_gap_pct >= -1,22,9,9,4,40.91,23.26,-0.234
signal_hhmm <= 940; entry_vs_opening_high_pct >= -0.8; cum_value_bil <= 8,22,9,7,6,40.91,23.26,-0.125
signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= -0.5,22,9,11,2,40.91,23.26,-0.284
signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= 0,22,9,11,2,40.91,23.26,-0.284
opening_width_pct <= 3.0; entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.5,22,9,11,2,40.91,23.26,-0.284
opening_width_pct <= 3.0; entry_vs_opening_high_pct >= -0.8; cum_value_bil <= 8,22,9,7,6,40.91,23.26,-0.125
opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.3; cum_value_bil <= 10,22,9,10,3,40.91,23.26,-0.26
opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.3; cum_value_bil <= 15,22,9,10,3,40.91,23.26,-0.26
entry_vs_opening_high_pct >= -0.8; volume_ratio >= 2.0; entry_gap_pct >= -1.5,22,9,7,6,40.91,23.26,-0.172
entry_vs_opening_high_pct >= -0.8; volume_ratio >= 2.0; entry_gap_pct >= -1,22,9,7,6,40.91,23.26,-0.172
entry_vs_opening_high_pct >= -0.5; entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -8,22,9,9,4,40.91,23.26,-0.284
signal_close_vs_vwap_pct >= 0.3; cum_value_bil <= 15; market_median_change_pct >= -0.5,22,9,10,3,40.91,23.26,-0.26
signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= -0.5; entry_gap_pct >= -1.5,22,9,11,2,40.91,23.26,-0.284
signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= -0.5; entry_gap_pct >= -1,22,9,11,2,40.91,23.26,-0.284
signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= 0; entry_gap_pct >= -1.5,22,9,11,2,40.91,23.26,-0.284
signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= 0; entry_gap_pct >= -1,22,9,11,2,40.91,23.26,-0.284
cum_value_bil <= 15; entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -8,22,9,8,5,40.91,23.26,-0.164
signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.5,27,11,14,2,40.74,24.51,-0.309
entry_vs_opening_high_pct >= -0.8; cum_value_bil <= 10,27,11,10,6,40.74,24.51,-0.18
signal_close_vs_vwap_pct >= 0.5; entry_gap_pct >= -1.5,27,11,14,2,40.74,24.51,-0.309
signal_close_vs_vwap_pct >= 0.5; entry_gap_pct >= -1,27,11,14,2,40.74,24.51,-0.309
cum_value_bil <= 10; market_median_change_pct >= -0.5,27,11,9,7,40.74,24.51,-0.146
market_median_change_pct >= -0.5; distance_from_60d_high_pct <= -8,27,11,10,6,40.74,24.51,-0.201
signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.5,27,11,14,2,40.74,24.51,-0.309
entry_vs_opening_high_pct >= -0.8; cum_value_bil <= 10; cum_value_bil <= 15,27,11,10,6,40.74,24.51,-0.18
signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.5; entry_gap_pct >= -1.5,27,11,14,2,40.74,24.51,-0.309
signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.5; entry_gap_pct >= -1,27,11,14,2,40.74,24.51,-0.309
signal_close_vs_vwap_pct >= 0.5; entry_gap_pct >= -1.5; entry_gap_pct >= -1,27,11,14,2,40.74,24.51,-0.309
cum_value_bil <= 10; cum_value_bil <= 15; market_median_change_pct >= -0.5,27,11,9,7,40.74,24.51,-0.146
signal_hhmm <= 940; cum_value_bil <= 15,30,12,11,7,40.0,24.59,-0.192
signal_close_vs_vwap_pct >= 0.3; market_median_change_pct >= -0.5,30,12,14,4,40.0,24.59,-0.312
entry_gap_pct >= -1; distance_from_60d_high_pct <= -8,30,12,12,6,40.0,24.59,-0.241
entry_gap_pct >= -1.5; entry_gap_pct >= -1; distance_from_60d_high_pct <= -8,30,12,12,6,40.0,24.59,-0.241
signal_hhmm <= 940; cum_value_bil <= 8,25,10,8,7,40.0,23.4,-0.146
opening_width_pct <= 3.0; cum_value_bil <= 8,25,10,8,7,40.0,23.4,-0.146
cum_value_bil <= 8; entry_gap_pct >= -1,25,10,8,7,40.0,23.4,-0.146
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.3,25,10,14,1,40.0,23.4,-0.386
signal_hhmm <= 940; opening_width_pct <= 3.0; distance_from_60d_high_pct <= -8,25,10,10,5,40.0,23.4,-0.216
signal_hhmm <= 940; entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.5,25,10,13,2,40.0,23.4,-0.322
signal_hhmm <= 940; entry_vs_opening_high_pct >= -0.8; cum_value_bil <= 10,25,10,9,6,40.0,23.4,-0.182
signal_hhmm <= 940; cum_value_bil <= 8; cum_value_bil <= 10,25,10,8,7,40.0,23.4,-0.146
signal_hhmm <= 940; cum_value_bil <= 8; cum_value_bil <= 15,25,10,8,7,40.0,23.4,-0.146
signal_hhmm <= 940; cum_value_bil <= 10; market_median_change_pct >= -0.5,25,10,8,7,40.0,23.4,-0.146
opening_width_pct <= 3.0; cum_value_bil <= 8; cum_value_bil <= 10,25,10,8,7,40.0,23.4,-0.146
opening_width_pct <= 3.0; cum_value_bil <= 8; cum_value_bil <= 15,25,10,8,7,40.0,23.4,-0.146
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.5; entry_gap_pct >= -1.5,25,10,13,2,40.0,23.4,-0.322
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.5; entry_gap_pct >= -1,25,10,13,2,40.0,23.4,-0.322
entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.3; entry_gap_pct >= -1.5,25,10,12,3,40.0,23.4,-0.355
signal_close_vs_vwap_pct >= 0.3; cum_value_bil <= 15; entry_gap_pct >= -1.5,25,10,12,3,40.0,23.4,-0.301
cum_value_bil <= 8; cum_value_bil <= 10; entry_gap_pct >= -1,25,10,8,7,40.0,23.4,-0.146
cum_value_bil <= 8; cum_value_bil <= 15; entry_gap_pct >= -1,25,10,8,7,40.0,23.4,-0.146
cum_value_bil <= 8; entry_gap_pct >= -1.5; entry_gap_pct >= -1,25,10,8,7,40.0,23.4,-0.146
market_median_change_pct >= -0.5; entry_gap_pct >= -1; distance_from_60d_high_pct <= -8,25,10,9,6,40.0,23.4,-0.205
entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -10,20,8,7,5,40.0,21.88,-0.165
signal_hhmm <= 935; opening_width_pct <= 3.0; entry_vs_opening_high_pct >= -0.5,20,8,10,2,40.0,21.88,-0.352
signal_hhmm <= 935; opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.5,20,8,11,1,40.0,21.88,-0.378
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.5; market_median_change_pct >= -0.5,20,8,10,2,40.0,21.88,-0.352
signal_hhmm <= 935; cum_value_bil <= 15; market_median_change_pct >= -0.5,20,8,8,4,40.0,21.88,-0.242
opening_width_pct <= 3.0; entry_vs_opening_high_pct >= -0.8; volume_ratio >= 2.0,20,8,6,6,40.0,21.88,-0.174
opening_width_pct <= 3.0; entry_vs_opening_high_pct >= -0.8; cum_value_bil <= 5,20,8,6,6,40.0,21.88,-0.123
opening_width_pct <= 3.0; entry_vs_opening_high_pct >= -0.5; distance_from_60d_high_pct <= -8,20,8,8,4,40.0,21.88,-0.297
opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= -0.5,20,8,10,2,40.0,21.88,-0.297
opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= 0,20,8,10,2,40.0,21.88,-0.297
opening_width_pct <= 3.0; volume_ratio >= 2.0; entry_gap_pct >= -1.5,20,8,6,6,40.0,21.88,-0.174
opening_width_pct <= 3.0; volume_ratio >= 2.0; entry_gap_pct >= -1,20,8,6,6,40.0,21.88,-0.174
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= -0.5,20,8,10,2,40.0,21.88,-0.297
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= 0,20,8,10,2,40.0,21.88,-0.297
entry_vs_opening_high_pct >= -0.8; entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -10,20,8,7,5,40.0,21.88,-0.165
entry_vs_opening_high_pct >= -0.5; market_median_change_pct >= -0.5; distance_from_60d_high_pct <= -8,20,8,8,4,40.0,21.88,-0.297
signal_close_vs_vwap_pct >= 0.3; market_median_change_pct >= 0; distance_from_60d_high_pct <= -8,20,8,9,3,40.0,21.88,-0.301
signal_close_vs_vwap_pct >= 0.5; cum_value_bil <= 15; entry_gap_pct >= -1.5,20,8,10,2,40.0,21.88,-0.297
signal_close_vs_vwap_pct >= 0.5; cum_value_bil <= 15; entry_gap_pct >= -1,20,8,10,2,40.0,21.88,-0.297
entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -8; distance_from_60d_high_pct <= -10,20,8,7,5,40.0,21.88,-0.165
signal_hhmm <= 925; opening_width_pct <= 3.0; market_median_change_pct >= -0.5,15,6,6,3,40.0,19.82,-0.242
signal_hhmm <= 930; opening_width_pct <= 2.5; distance_from_60d_high_pct <= -8,15,6,7,2,40.0,19.82,-0.299
signal_hhmm <= 935; cum_value_bil <= 5; market_median_change_pct >= -0.5,15,6,5,4,40.0,19.82,-0.182
signal_hhmm <= 935; cum_value_bil <= 8; market_median_change_pct >= 0,15,6,5,4,40.0,19.82,-0.182
opening_width_pct <= 2.5; cum_value_bil <= 10; distance_from_60d_high_pct <= -8,15,6,4,5,40.0,19.82,-0.08
opening_width_pct <= 2.5; cum_value_bil <= 15; distance_from_60d_high_pct <= -8,15,6,4,5,40.0,19.82,-0.08
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.0; market_median_change_pct >= 0,15,6,4,5,40.0,19.82,-0.2
entry_vs_opening_high_pct >= -0.5; cum_value_bil <= 8; market_median_change_pct >= -0.5,15,6,5,4,40.0,19.82,-0.217
entry_vs_opening_high_pct >= -0.5; entry_gap_pct >= -0.5; distance_from_60d_high_pct <= -8,15,6,6,3,40.0,19.82,-0.291
signal_close_vs_vwap_pct >= 0.3; cum_value_bil <= 10; entry_gap_pct >= -0.5,15,6,8,1,40.0,19.82,-0.386
volume_ratio >= 2.0; market_median_change_pct >= 0; distance_from_60d_high_pct <= -8,15,6,4,5,40.0,19.82,-0.149
cum_value_bil <= 5; entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -8,15,6,4,5,40.0,19.82,-0.08
cum_value_bil <= 15; market_median_change_pct >= 0; distance_from_60d_high_pct <= -10,15,6,4,5,40.0,19.82,-0.08
signal_hhmm <= 925; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.283
signal_hhmm <= 940; cum_value_bil <= 3,10,4,3,3,40.0,16.82,-0.162
entry_vs_opening_high_pct >= 0; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.342
signal_hhmm <= 925; signal_hhmm <= 930; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.283
signal_hhmm <= 925; signal_hhmm <= 935; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.283
signal_hhmm <= 925; signal_hhmm <= 940; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.283
signal_hhmm <= 925; opening_width_pct <= 2.5; cum_value_bil <= 10,10,4,3,3,40.0,16.82,-0.154
signal_hhmm <= 925; opening_width_pct <= 2.5; cum_value_bil <= 15,10,4,3,3,40.0,16.82,-0.154
signal_hhmm <= 925; opening_width_pct <= 2.5; distance_from_60d_high_pct <= -10,10,4,4,2,40.0,16.82,-0.238
signal_hhmm <= 925; entry_vs_opening_high_pct >= -0.8; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.283
signal_hhmm <= 925; entry_vs_opening_high_pct >= -0.8; cum_value_bil <= 8,10,4,3,3,40.0,16.82,-0.154
signal_hhmm <= 925; entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.5,10,4,5,1,40.0,16.82,-0.336
signal_hhmm <= 925; signal_close_vs_vwap_pct >= 0.3; cum_value_bil <= 10,10,4,5,1,40.0,16.82,-0.336
signal_hhmm <= 925; signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= -0.5,10,4,5,1,40.0,16.82,-0.336
signal_hhmm <= 925; signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= 0,10,4,5,1,40.0,16.82,-0.336
signal_hhmm <= 925; volume_ratio >= 2.0; entry_gap_pct >= -1.5,10,4,4,2,40.0,16.82,-0.283
signal_hhmm <= 925; volume_ratio >= 2.0; entry_gap_pct >= -1,10,4,4,2,40.0,16.82,-0.283
signal_hhmm <= 925; cum_value_bil <= 15; entry_gap_pct >= -0.5,10,4,5,1,40.0,16.82,-0.291
signal_hhmm <= 925; market_median_change_pct >= 0; distance_from_60d_high_pct <= -10,10,4,4,2,40.0,16.82,-0.238
signal_hhmm <= 930; opening_width_pct <= 2.5; cum_value_bil <= 5,10,4,2,4,40.0,16.82,-0.064
signal_hhmm <= 930; opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.8,10,4,6,0,40.0,16.82,-0.42
signal_hhmm <= 930; entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.8,10,4,6,0,40.0,16.82,-0.42
signal_hhmm <= 930; entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.283
signal_hhmm <= 930; entry_vs_opening_high_pct >= -0.5; cum_value_bil <= 15,10,4,4,2,40.0,16.82,-0.283
signal_hhmm <= 930; signal_close_vs_vwap_pct >= 0.3; cum_value_bil <= 5,10,4,5,1,40.0,16.82,-0.335
signal_hhmm <= 930; signal_close_vs_vwap_pct >= 0.5; distance_from_60d_high_pct <= -10,10,4,6,0,40.0,16.82,-0.42
signal_hhmm <= 930; volume_ratio >= 2.0; market_median_change_pct >= -0.5,10,4,4,2,40.0,16.82,-0.283
signal_hhmm <= 930; cum_value_bil <= 8; entry_gap_pct >= -0.5,10,4,5,1,40.0,16.82,-0.291
signal_hhmm <= 935; opening_width_pct <= 2.5; entry_vs_opening_high_pct >= -0.2,10,4,6,0,40.0,16.82,-0.42
signal_hhmm <= 935; opening_width_pct <= 3.0; entry_vs_opening_high_pct >= -0.2,10,4,6,0,40.0,16.82,-0.42
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.2; signal_close_vs_vwap_pct >= 0.5,10,4,6,0,40.0,16.82,-0.42
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.2; signal_close_vs_vwap_pct >= 0.8,10,4,6,0,40.0,16.82,-0.42
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.2; market_median_change_pct >= -0.5,10,4,6,0,40.0,16.82,-0.42
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.2; market_median_change_pct >= 0,10,4,6,0,40.0,16.82,-0.42
signal_hhmm <= 935; entry_gap_pct >= -0.5; distance_from_60d_high_pct <= -10,10,4,5,1,40.0,16.82,-0.291
signal_hhmm <= 940; opening_width_pct <= 3.0; cum_value_bil <= 3,10,4,3,3,40.0,16.82,-0.162
signal_hhmm <= 940; entry_vs_opening_high_pct >= -0.2; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.253
signal_hhmm <= 940; entry_vs_opening_high_pct >= -0.2; distance_from_60d_high_pct <= -10,10,4,4,2,40.0,16.82,-0.253
signal_hhmm <= 940; cum_value_bil <= 3; cum_value_bil <= 5,10,4,3,3,40.0,16.82,-0.162
signal_hhmm <= 940; cum_value_bil <= 3; cum_value_bil <= 8,10,4,3,3,40.0,16.82,-0.162
signal_hhmm <= 940; cum_value_bil <= 3; cum_value_bil <= 10,10,4,3,3,40.0,16.82,-0.162
signal_hhmm <= 940; cum_value_bil <= 3; cum_value_bil <= 15,10,4,3,3,40.0,16.82,-0.162
opening_width_pct <= 2.5; signal_close_vs_vwap_pct >= 0.5; cum_value_bil <= 10,10,4,4,2,40.0,16.82,-0.175
opening_width_pct <= 2.5; signal_close_vs_vwap_pct >= 0.5; cum_value_bil <= 15,10,4,4,2,40.0,16.82,-0.175
opening_width_pct <= 2.5; signal_close_vs_vwap_pct >= 0.5; distance_from_60d_high_pct <= -10,10,4,5,1,40.0,16.82,-0.259
opening_width_pct <= 2.5; volume_ratio >= 2.0; distance_from_60d_high_pct <= -10,10,4,2,4,40.0,16.82,-0.039
opening_width_pct <= 3.0; entry_vs_opening_high_pct >= -0.2; volume_ratio >= 2.0,10,4,3,3,40.0,16.82,-0.226
entry_vs_opening_high_pct >= -0.8; entry_vs_opening_high_pct >= 0; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.342
entry_vs_opening_high_pct >= -0.8; cum_value_bil <= 15; market_median_change_pct >= 0.3,10,4,3,3,40.0,16.82,-0.154
entry_vs_opening_high_pct >= -0.5; entry_vs_opening_high_pct >= 0; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.342
entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.3; market_median_change_pct >= 0.3,10,4,5,1,40.0,16.82,-0.335
entry_vs_opening_high_pct >= -0.5; cum_value_bil <= 8; entry_gap_pct >= -0.5,10,4,4,2,40.0,16.82,-0.253
entry_vs_opening_high_pct >= -0.2; entry_vs_opening_high_pct >= 0; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.342
entry_vs_opening_high_pct >= -0.2; signal_close_vs_vwap_pct >= 0.3; distance_from_60d_high_pct <= -10,10,4,5,1,40.0,16.82,-0.368
entry_vs_opening_high_pct >= -0.2; volume_ratio >= 2.0; market_median_change_pct >= -0.5,10,4,3,3,40.0,16.82,-0.226
entry_vs_opening_high_pct >= -0.2; volume_ratio >= 2.0; market_median_change_pct >= 0,10,4,3,3,40.0,16.82,-0.226
entry_vs_opening_high_pct >= -0.2; cum_value_bil <= 15; market_median_change_pct >= -0.5,10,4,4,2,40.0,16.82,-0.253
entry_vs_opening_high_pct >= -0.2; cum_value_bil <= 15; market_median_change_pct >= 0,10,4,4,2,40.0,16.82,-0.253
entry_vs_opening_high_pct >= -0.2; cum_value_bil <= 15; entry_gap_pct >= -1.5,10,4,4,2,40.0,16.82,-0.253
entry_vs_opening_high_pct >= -0.2; market_median_change_pct >= -0.5; distance_from_60d_high_pct <= -10,10,4,4,2,40.0,16.82,-0.253
entry_vs_opening_high_pct >= -0.2; market_median_change_pct >= 0; distance_from_60d_high_pct <= -10,10,4,4,2,40.0,16.82,-0.253
entry_vs_opening_high_pct >= -0.2; entry_gap_pct >= -1; distance_from_60d_high_pct <= -10,10,4,4,2,40.0,16.82,-0.253
entry_vs_opening_high_pct >= 0; signal_close_vs_vwap_pct >= 0.3; volume_ratio >= 2.0,10,4,4,2,40.0,16.82,-0.342
signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= 0.3; entry_gap_pct >= -1.5,10,4,5,1,40.0,16.82,-0.335
signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= 0.3; entry_gap_pct >= -1,10,4,5,1,40.0,16.82,-0.335
volume_ratio >= 2.0; cum_value_bil <= 5; market_median_change_pct >= 0,10,4,1,5,40.0,16.82,0.045
cum_value_bil <= 10; market_median_change_pct >= 0.3; entry_gap_pct >= -1.5,10,4,3,3,40.0,16.82,-0.154
cum_value_bil <= 10; market_median_change_pct >= 0.3; entry_gap_pct >= -1,10,4,3,3,40.0,16.82,-0.154
signal_close_vs_vwap_pct >= 0.3; entry_gap_pct >= -1,33,13,16,4,39.39,24.68,-0.338
signal_close_vs_vwap_pct >= 0.3; entry_gap_pct >= -1.5; entry_gap_pct >= -1,33,13,16,4,39.39,24.68,-0.338
opening_width_pct <= 3.0; cum_value_bil <= 10,28,11,10,7,39.29,23.57,-0.195
opening_width_pct <= 3.0; cum_value_bil <= 15,28,11,10,7,39.29,23.57,-0.195
entry_vs_opening_high_pct >= -0.8; cum_value_bil <= 15,28,11,11,6,39.29,23.57,-0.227
cum_value_bil <= 10; entry_gap_pct >= -1,28,11,10,7,39.29,23.57,-0.195
cum_value_bil <= 15; market_median_change_pct >= -0.5,28,11,10,7,39.29,23.57,-0.195
signal_hhmm <= 940; entry_vs_opening_high_pct >= -0.8; distance_from_60d_high_pct <= -8,28,11,12,5,39.29,23.57,-0.257
signal_hhmm <= 940; entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -8,28,11,12,5,39.29,23.57,-0.257
signal_hhmm <= 940; entry_gap_pct >= -1; distance_from_60d_high_pct <= -8,28,11,12,5,39.29,23.57,-0.257
opening_width_pct <= 3.0; cum_value_bil <= 10; cum_value_bil <= 15,28,11,10,7,39.29,23.57,-0.195
signal_close_vs_vwap_pct >= 0.3; market_median_change_pct >= -0.5; entry_gap_pct >= -1,28,11,13,4,39.29,23.57,-0.324
cum_value_bil <= 10; cum_value_bil <= 15; entry_gap_pct >= -1,28,11,10,7,39.29,23.57,-0.195
cum_value_bil <= 10; entry_gap_pct >= -1.5; entry_gap_pct >= -1,28,11,10,7,39.29,23.57,-0.195
cum_value_bil <= 5,23,9,7,7,39.13,22.16,-0.146
signal_hhmm <= 935; signal_close_vs_vwap_pct >= 0.5,23,9,13,1,39.13,22.16,-0.407
cum_value_bil <= 5; cum_value_bil <= 8,23,9,7,7,39.13,22.16,-0.146
cum_value_bil <= 5; cum_value_bil <= 10,23,9,7,7,39.13,22.16,-0.146
cum_value_bil <= 5; cum_value_bil <= 15,23,9,7,7,39.13,22.16,-0.146
cum_value_bil <= 8; market_median_change_pct >= -0.5,23,9,7,7,39.13,22.16,-0.146
signal_hhmm <= 935; signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.5,23,9,13,1,39.13,22.16,-0.407
signal_hhmm <= 935; opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.3,23,9,13,1,39.13,22.16,-0.407
signal_hhmm <= 935; signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.5,23,9,13,1,39.13,22.16,-0.407
signal_hhmm <= 935; signal_close_vs_vwap_pct >= 0.5; entry_gap_pct >= -1.5,23,9,13,1,39.13,22.16,-0.407
signal_hhmm <= 935; signal_close_vs_vwap_pct >= 0.5; entry_gap_pct >= -1,23,9,13,1,39.13,22.16,-0.407
signal_hhmm <= 935; cum_value_bil <= 15; entry_gap_pct >= -1.5,23,9,10,4,39.13,22.16,-0.289
signal_hhmm <= 935; cum_value_bil <= 15; entry_gap_pct >= -1,23,9,10,4,39.13,22.16,-0.289
signal_hhmm <= 940; opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.5,23,9,12,2,39.13,22.16,-0.337
signal_hhmm <= 940; opening_width_pct <= 3.0; cum_value_bil <= 8,23,9,7,7,39.13,22.16,-0.146
opening_width_pct <= 3.0; entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.3,23,9,11,3,39.13,22.16,-0.373
opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.5; entry_gap_pct >= -1.5,23,9,12,2,39.13,22.16,-0.337
opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.5; entry_gap_pct >= -1,23,9,12,2,39.13,22.16,-0.337
entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.3; market_median_change_pct >= -0.5,23,9,11,3,39.13,22.16,-0.373
cum_value_bil <= 5; cum_value_bil <= 8; cum_value_bil <= 10,23,9,7,7,39.13,22.16,-0.146
cum_value_bil <= 5; cum_value_bil <= 8; cum_value_bil <= 15,23,9,7,7,39.13,22.16,-0.146
cum_value_bil <= 5; cum_value_bil <= 10; cum_value_bil <= 15,23,9,7,7,39.13,22.16,-0.146
cum_value_bil <= 8; cum_value_bil <= 10; market_median_change_pct >= -0.5,23,9,7,7,39.13,22.16,-0.146
cum_value_bil <= 8; cum_value_bil <= 15; market_median_change_pct >= -0.5,23,9,7,7,39.13,22.16,-0.146
opening_width_pct <= 2.5; cum_value_bil <= 8,18,7,4,7,38.89,20.3,-0.07
opening_width_pct <= 3.0; distance_from_60d_high_pct <= -10,18,7,6,5,38.89,20.3,-0.167
volume_ratio >= 2.0; market_median_change_pct >= 0,18,7,5,6,38.89,20.3,-0.177
cum_value_bil <= 10; entry_gap_pct >= -0.5,18,7,8,3,38.89,20.3,-0.285
market_median_change_pct >= 0; distance_from_60d_high_pct <= -10,18,7,6,5,38.89,20.3,-0.167
signal_hhmm <= 930; opening_width_pct <= 3.0; cum_value_bil <= 10,18,7,7,4,38.89,20.3,-0.252
signal_hhmm <= 930; opening_width_pct <= 3.0; cum_value_bil <= 15,18,7,7,4,38.89,20.3,-0.252
signal_hhmm <= 935; signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= -0.5,18,7,10,1,38.89,20.3,-0.403
signal_hhmm <= 935; signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= 0,18,7,10,1,38.89,20.3,-0.403
signal_hhmm <= 935; market_median_change_pct >= 0; distance_from_60d_high_pct <= -8,18,7,9,2,38.89,20.3,-0.349
signal_hhmm <= 940; opening_width_pct <= 3.0; volume_ratio >= 2.0,18,7,6,5,38.89,20.3,-0.192
opening_width_pct <= 2.5; opening_width_pct <= 3.0; cum_value_bil <= 8,18,7,4,7,38.89,20.3,-0.07
