source_bas_dt,ticker,foreign_net_buy_value,institution_net_buy_value,retail_net_buy_value,source,updated_at
20260508,003550,17261479100.0,-7695053750.0,-9552185350.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003670,-5470694000.0,-7689079500.0,12897142000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,004020,-967071175.0,-3161725750.0,4075289075.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,004170,1875594500.0,-1508527750.0,-329431250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,004370,1282684500.0,896145500.0,-2175415500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000040,-784618.0,-2762.0,787380.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000150,21780807000.0,-23710401000.0,2922154500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000155,5804763000.0,2153747500.0,-7890770500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000250,4063125750.0,-969098000.0,-2706121250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000270,132116005450.0,-25139212150.0,-106501640600.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000390,348606720.0,-1903200.0,-528620430.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000660,-865803488000.0,59037547000.0,817935531500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000720,44256123300.0,-1533326850.0,-42957414200.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000810,5510194500.0,4227902500.0,-8485626000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000880,3567977350.0,-2115125200.0,-227020150.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,001040,5502315000.0,-5126886000.0,-68987500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,001120,2061509150.0,-3500874625.0,1175261475.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,001260,-158902040.0,-1151450.0,160053490.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,001430,-754024150.0,-522111000.0,1440531250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,001440,-92797549000.0,-5520280400.0,100676510400.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,001450,208237400.0,-1509235275.0,1352595525.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,001510,-2048789575.0,122162870.0,1753523815.0,pykrx-krx,2026-05-19T08:01:09+09:00
